PID,Number of flights(layovers),Flights
26836,0,
27437,0,
27902,0,
28117,0,
28368,0,
28448,0,
30761,0,
30941,0,
31085,0,
31595,0,
32006,0,
32532,0,
33382,0,
33429,0,
33809,0,
33993,0,
35086,0,
35767,0,
37541,0,
37604,0,
266,2,"[238, 307]"
544,2,"[238, 307]"
569,2,"[238, 307]"
926,2,"[238, 307]"
1178,2,"[238, 307]"
1230,2,"[238, 307]"
1895,2,"[238, 307]"
2232,2,"[238, 307]"
2340,2,"[238, 307]"
2605,2,"[238, 307]"
2799,2,"[238, 307]"
2925,2,"[238, 307]"
4133,2,"[238, 307]"
4166,2,"[238, 307]"
4704,2,"[238, 307]"
4876,2,"[238, 307]"
4907,2,"[238, 307]"
5114,2,"[238, 307]"
5200,2,"[238, 307]"
6264,2,"[238, 307]"
6745,2,"[238, 307]"
6817,2,"[238, 307]"
6927,2,"[238, 307]"
7016,2,"[238, 307]"
7538,2,"[238, 307]"
8262,2,"[238, 307]"
8460,2,"[238, 307]"
8787,3,"[116, 10, 69]"
9178,3,"[116, 10, 69]"
9688,3,"[116, 10, 69]"
9722,3,"[116, 10, 69]"
9935,3,"[189, 231, 379]"
10239,3,"[116, 106, 196]"
10906,3,"[116, 74, 181]"
11210,3,"[116, 74, 181]"
11214,3,"[116, 74, 181]"
11272,3,"[116, 74, 181]"
11821,3,"[116, 74, 181]"
12324,3,"[116, 74, 181]"
12456,3,"[116, 74, 181]"
12519,3,"[116, 74, 181]"
12604,3,"[116, 74, 181]"
12613,3,"[116, 74, 181]"
13003,3,"[116, 74, 181]"
13086,3,"[116, 74, 181]"
13285,3,"[116, 74, 181]"
13433,3,"[116, 74, 181]"
13588,3,"[116, 74, 181]"
14465,3,"[116, 74, 181]"
14470,3,"[116, 74, 181]"
15105,3,"[116, 74, 181]"
15269,3,"[116, 74, 181]"
15431,3,"[116, 74, 181]"
16202,3,"[116, 74, 181]"
17471,3,"[116, 74, 181]"
18225,3,"[233, 328, 181]"
18516,3,"[233, 328, 181]"
18817,3,"[233, 328, 181]"
19105,0,
19487,0,
19631,0,
19738,0,
20024,0,
20353,0,
20366,0,
20669,0,
20681,0,
21099,0,
21496,0,
22319,0,
22556,0,
23326,0,
23614,0,
24155,0,
24804,0,
24826,0,
25744,0,
25806,0,
26687,0,
27333,0,
27684,0,
27766,0,
27894,0,
27934,0,
28044,0,
28259,0,
28341,0,
28784,0,
29021,0,
29233,0,
29707,0,
29853,0,
30006,0,
30076,0,
30174,0,
30266,0,
31005,0,
31146,0,
31279,0,
31354,0,
31520,0,
31715,0,
31785,0,
32067,0,
32073,0,
32381,0,
32418,0,
32952,0,
33057,0,
33132,0,
33168,0,
33459,0,
33668,0,
34028,0,
34377,0,
34478,0,
34563,0,
34590,0,
34801,0,
35009,0,
35364,0,
35506,0,
35824,0,
36415,0,
36716,0,
36914,0,
37111,0,
37618,0,
